Country or region,Highest point,Maximum elevation
DR Congo,Mount Stanley (Margherita Peak),"16,762 ft"
Republic of the Congo,Mont Nabemba,"3,346 ft"
Cook Islands,Te Manga on Rarotonga,"2,139 ft"
Costa Rica,Cerro Chirripó,"12,533 ft"
Ivory Coast,Mont Nimba,"5,748 ft"
Croatia,Dinara,"6,007 ft"
Cuba,Pico Turquino,"6,476 ft"
Curacao,Christoffelberg,"1,230 ft"
Cyprus,Mount Olympus,"6,401 ft"
Czech Republic,Sněžka,"5,259 ft"
Denmark,Møllehøj,561 ft
Djibouti,Mousa Ali,"6,654 ft"
Dominica,Morne Diablotins,"4,747 ft"
Dominican Republic,Pico Duarte[16],"10,164 ft"
Ecuador,Chimborazo[19],"20,561 ft"
Egypt,Mount Catherine,"8,625 ft"
El Salvador,Cerro El Pital,"8,957 ft"
Equatorial Guinea,Pico Basile on Bioko,"9,869 ft"
Eritrea,Emba Soira,"9,902 ft"
Estonia,Suur Munamägi,"1,043 ft"
Eswatini,Emlembe,"6,109 ft"
Ethiopia,Ras Dejen,"14,928 ft"
Falkland Islands,Mount Usborne on East Falkland,"2,313 ft"
Faroe Islands,Slættaratindur on Eysturoy,"2,887 ft"
Fiji,Tomanivi on Viti Levu,"4,344 ft"
Finland,Halti,"4,344 ft"
France,Mont Blanc[20],"15,781 ft"
French Guiana,Bellevue de l'Inini,"2,792 ft"
French Polynesia,Mont Orohena[21],"7,352 ft"
French Southern and Antarctic Lands,Mont Ross on Kerguelen Islands,"6,070 ft"
Gabon,Mont Bengoué,"3,510 ft"
Gambia,Unnamed point,210 ft[22]
Georgia,Shkhara,"17,064 ft"
Germany,Zugspitze,"9,718 ft"
Ghana,Mount Afadjato,"2,887 ft"
Gibraltar,Rock of Gibraltar,"1,398 ft"
Greece,Mount Olympus,"9,570 ft"
Greenland,Gunnbjørn Fjeld[24],"12,139 ft"
Grenada,Mount Saint Catherine,"2,756 ft"
Guadeloupe,La Grande Soufrière on Basse-Terre Island,"4,869 ft"
Guam,Mount Lamlam[25],"1,332 ft"
Guatemala,Volcán Tajumulco[26],"13,845 ft"
Guernsey,Le Moulin,374 ft
Guinea,Mont Nimba,"5,748 ft"
Guinea-Bissau,Monte Torin,860 ft
Guyana,Mount Roraima,"9,094 ft[27]"
Haiti,Pic la Selle,"8,793 ft"
Heard Island and McDonald Islands,Big Ben (Mawson Peak)[5],"9,006 ft"
Honduras,Cerro Las Minas,"9,416 ft"
Hong Kong,Tai Mo Shan,"3,143 ft"
Hungary,Kékes,"3,327 ft"
Iceland,Hvannadalshnúkur,"6,921 ft"
India,Kangchenjunga[28][29],"28,169 ft"
Indonesia,Puncak Jaya on New Guinea[31],"16,024 ft"
Iran,Damavand,"18,406 ft"
Iraq,Cheekha Dar,"11,847 ft"
Ireland,Carrauntoohil,"3,406 ft"
Isle of Man,Snaefell,"2,037 ft"
Israel,Mount Meron (de jure; inside the Green Line) Mount Hermon (de facto; in the occupied Golan Heights)[32],"3,963 ft"
Italy,Monte Bianco[20],"15,781 ft"
Jamaica,Blue Mountain Peak,"7,402 ft"
Japan,Mount Fuji on Honshu,"12,388 ft"
Jersey,Les Platons,469 ft
Jordan,Jabal Umm ad Dami,"6,083 ft"
Kazakhstan,Khan Tengri,"22,999 ft"
Kenya,Mount Kenya,"17,057 ft"
Kiribati,Unnamed location on Banaba,266 ft
North Korea,Paektu-san,"9,003 ft"
South Korea,Halla-san on Jejudo,"6,398 ft"
Kosovo,Velika Rudoka[35][36][37],"8,728 ft"
Kuwait,Mutla Ridge,"1,004 ft"
Kyrgyzstan,Jengish Chokusu,"24,406 ft"
Laos,Phou Bia,"9,242 ft"
Latvia,Gaiziņkalns,"1,024 ft"
Lebanon,Qurnat as Sawda',"10,131 ft"
Lesotho,Thabana Ntlenyana[38],"11,424 ft"
Liberia,Mount Wuteve,"4,724 ft"
Libya,Bikku Bitti,"7,438 ft"
Liechtenstein,Grauspitz,"8,527 ft"
Lithuania,Aukštojas Hill,964 ft
Luxembourg,Kneiff,"1,837 ft"
Macau,Coloane Alto on Gau Ou Saan,564 ft
North Macedonia,Golem Korab,"9,068 ft"
Madagascar,Maromokotro,"9,436 ft"
Malawi,Mount Mulanje,"9,849 ft"
